"Order" "Family.name" "Family" "Common.name" "Scientific.name" "X2022.IUCN.Red.List.category" "Forest.dependency" "Migratory.status"
"CAPRIMULGIFORMES" "Trochilidae" "Hummingbirds" "Scale-throated Hermit" "Phaethornis eurynome" "LC" "High" "not a migrant"
"FALCONIFORMES" "Falconidae" "Falcons, Caracaras" "Chimango Caracara" "Phalcoboenus chimango" "LC" "Does not normally occur in forest" "full migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Black-capped Foliage-gleaner" "Philydor atricapillus" "LC" "High" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Buff-fronted Foliage-gleaner" "Philydor rufum" "LC" "High" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Rough-legged Tyrannulet" "Phyllomyias burmeisteri" "LC" "High" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Planalto Tyrannulet" "Phyllomyias fasciatus" "LC" "High" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Greenish Tyrannulet" "Phyllomyias virescens" "LC" "High" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Bay-ringed Tyrannulet" "Phylloscartes sylviolus" "NT" "High" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Mottle-cheeked Tyrannulet" "Phylloscartes ventralis" "LC" "High" "not a migrant"
"CUCULIFORMES" "Cuculidae" "Cuckoos" "Common Squirrel-cuckoo" "Piaya cayana" "LC" "Medium" "not a migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Yellow-browed Woodpecker" "Piculus aurulentus" "NT" "High" "not a migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Mottled Piculet" "Picumnus nebulosus" "NT" "High" "not a migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Ochre-collared Piculet" "Picumnus temminckii" "LC" "High" "not a migrant"
"PSITTACIFORMES" "Psittacidae" "Parrots" "Scaly-headed Parrot" "Pionus maximiliani" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Fawn-breasted Tanager" "Pipraeidea melanonota" "LC" "Low" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Great Kiskadee" "Pitangus sulphuratus" "LC" "Low" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Eastern White-throated Spadebill" "Platyrinchus mystaceus" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Ochre-faced Tody-flycatcher" "Poecilotriccus plumbeiceps" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Southern Bristle-tyrant" "Pogonotriccus eximius" "NT" "High" "not a migrant"
"PASSERIFORMES" "Cotingidae" "Cotingas" "Bare-throated Bellbird" "Procnias nudicollis" "NT" "High" "altitudinal migrant"
"PASSERIFORMES" "Hirundinidae" "Swallows and Martins" "Grey-breasted Martin" "Progne chalybea" "LC" "Low" "full migrant"
"PASSERIFORMES" "Hirundinidae" "Swallows and Martins" "Brown-chested Martin" "Progne tapera" "LC" "Does not normally occur in forest" "full migrant"
"PSITTACIFORMES" "Psittacidae" "Parrots" "White-eyed Parakeet" "Psittacara leucophthalmus" "LC" "Medium" "not a migrant"
"PICIFORMES" "Ramphastidae" "Toucans" "Saffron Toucanet" "Pteroglossus bailloni" "NT" "High" "not a migrant"
"PASSERIFORMES" "Hirundinidae" "Swallows and Martins" "Blue-and-white Swallow" "Pygochelidon cyanoleuca" "LC" "Does not normally occur in forest" "full migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "White-shouldered Fire-eye" "Pyriglena leucoptera" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Cotingidae" "Cotingas" "Red-ruffed Fruitcrow" "Pyroderus scutatus" "LC" "High" "not a migrant"
"PSITTACIFORMES" "Psittacidae" "Parrots" "Maroon-bellied Parakeet" "Pyrrhura frontalis" "LC" "Medium" "not a migrant"
"PICIFORMES" "Ramphastidae" "Toucans" "Red-breasted Toucan" "Ramphastos dicolorus" "LC" "Medium" "altitudinal migrant"
"PICIFORMES" "Ramphastidae" "Toucans" "Toco Toucan" "Ramphastos toco" "LC" "Medium" "not a migrant"
"STRUTHIONIFORMES" "Tinamidae" "Tinamous" "Red-winged Tinamou" "Rhynchotus rufescens" "LC" "Does not normally occur in forest" "not a migrant"
"ACCIPITRIFORMES" "Accipitridae" "Hawks, Eagles" "Roadside Hawk" "Rupornis magnirostris" "LC" "Low" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Golden-billed Saltator" "Saltator aurantiirostris" "LC" "Low" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Amazonian Grey Saltator" "Saltator coerulescens" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Thick-billed Saltator" "Saltator maxillosus" "LC" "High" "altitudinal migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Green-winged Saltator" "Saltator similis" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tityridae" "Tityras and allies" "Greenish Schiffornis" "Schiffornis virescens" "LC" "High" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Rufous-breasted Leaftosser" "Sclerurus scansor" "LC" "High" "not a migrant"
"PASSERIFORMES" "Rhinocryptidae" "Tapaculos" "Planalto Tapaculo" "Scytalopus pachecoi" "LC" "High" "not a migrant"
"PASSERIFORMES" "Rhinocryptidae" "Tapaculos" "Mouse-colored Tapaculo" "Scytalopus speluncae" "LC" "High" "not a migrant"
"PICIFORMES" "Ramphastidae" "Toucans" "Spot-billed Toucanet" "Selenidera maculirostris" "LC" "High" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Sooty Tyrannulet" "Serpophaga nigricans" "LC" "Low" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "White-crested Tyrannulet" "Serpophaga subcristata" "LC" "Low" "full migrant"
"PASSERIFORMES" "Parulidae" "New World Warblers" "Tropical Parula" "Setophaga pitiayumi" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Saffron Finch" "Sicalis flaveola" "LC" "Does not normally occur in forest" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Sibilant Sirystes" "Sirystes sibilator" "LC" "High" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Eastern Olivaceous Woodcreeper" "Sittasomus griseicapillus" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Fringillidae" "Finches" "Hooded Siskin" "Spinus magellanicus" "LC" "Low" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Double-collared Seedeater" "Sporophila caerulescens" "LC" "Does not normally occur in forest" "full migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Diademed Tanager" "Stephanophorus diadematus" "LC" "Medium" "full migrant"
"CAPRIMULGIFORMES" "Trochilidae" "Hummingbirds" "Violet-crowned Plovercrest" "Stephanoxis loddigesii" "LC" "Medium" "not a migrant"
"STRIGIFORMES" "Strigidae" "Typical Owls" "Rusty-barred Owl" "Strix hylophila" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Grey-bellied Spinetail" "Synallaxis cinerascens" "LC" "High" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Sooty-fronted Spinetail" "Synallaxis frontalis" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Rufous-capped Spinetail" "Synallaxis ruficapilla" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Spix's Spinetail" "Synallaxis spixi" "LC" "Does not normally occur in forest" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Buff-browed Foliage-gleaner" "Syndactyla rufosuperciliata" "LC" "Medium" "not a migrant"
"PELECANIFORMES" "Ardeidae" "Herons" "Whistling Heron" "Syrigma sibilatrix" "LC" "Does not normally occur in forest" "full migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Ruby-crowned Tanager" "Tachyphonus coronatus" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Chestnut-backed Tanager" "Tangara preciosa" "LC" "Medium" "full migrant"
